Down_regulated,Gene_Symbol,log2(T/C),P-value (DE)
PH_rn_0012475,Fgf2,-1.058162,3.01E-08
PH_rn_0012658,Nrarp,-1.2626,0.0000308
PH_rn_0012712,Gmcl1,-1.009719,0.001235725
PH_rn_0012746,Lbh,-1.836883,0.00000273
PH_rn_0012805,Anks1a,-1.077244,5.71E-12
PH_rn_0012877,RGD1563482,-1.547091,2.84E-10
PH_rn_0012955,Tsn,-1.490092,2.8E-15
PH_rn_0013142,Zfp467,-1.011396,0.0000114
PH_rn_0013191,Eva1b,-1.221581,0.000430475
PH_rn_0013196,Sephs2,-1.123753,9.13E-12
PH_rn_0013237,Tmem218,-1.067243,1.3E-13
PH_rn_0013299,Gatsl2,-1.172975,0.000168778
PH_rn_0013313,Tril,-1.813188,8.03E-08
PH_rn_0013370,Zmiz2,-1.168445,0.000334246
PH_rn_0013375,Pomgnt2,-1.088751,0.00000272
PH_rn_0013603,Tbc1d14,-1.027791,0.00078982
PH_rn_0013737,Cby1,-1.335878,0.000000022
PH_rn_0013744,RGD1304587,-1.585208,2.25E-10
PH_rn_0013759,Tmem252,-1.157324,0.000761946
PH_rn_0013832,Spast,-1.130841,0.009061977
PH_rn_0014035,Cdip1,-1.126281,0.000694064
PH_rn_0014043,RGD1305592,-1.101546,6.11E-21
PH_rn_0014093,Rapgef5,-1.241445,3.3E-09
PH_rn_0014132,LOC500300,-1.25531,0.002239523
PH_rn_0014196,Hoxb13,-1.012469,0.001908381
PH_rn_0014246,Trmt12,-1.07082,0.025831718
PH_rn_0014411,Mr1,-1.244433,0.012720065
PH_rn_0014537,Tmem50b,-1.390345,0.00000249
PH_rn_0014696,Nat1,-1.710121,0.00000465
PH_rn_0014741,Brinp1,-1.82539,2.08E-09
PH_rn_0014818,Stau2,-1.233617,0.000246374
PH_rn_0014909,Klhl17,-1.088644,0.00004937
PH_rn_0014940,Hao1,-1.003278,0.003275683
PH_rn_0014960,Lpar6,-1.415328,1.03E-10
PH_rn_0014982,Ccne1,-1.067051,0.000000612
PH_rn_0015121,Lpcat1,-1.07116,0.00000736
PH_rn_0015138,Top2a,-1.615255,1.92E-12
PH_rn_0015190,Gsg2,-1.197094,0.00043516
PH_rn_0015448,Plekhh3,-1.172716,0.000000407
PH_rn_0015491,Kcnh6,-1.022358,0.000203908
PH_rn_0015521,Wnk4,-1.136812,0.000000146
PH_rn_0015536,Cdc25b,-1.084568,0.00000225
PH_rn_0015567,Gcnt2,-1.215065,0.001475886
PH_rn_0015607,Pomk,-1.196454,0.00000171
PH_rn_0015802,Hapln1,-1.455712,0.002162967
PH_rn_0015811,Ptafr,-1.353969,5.79E-13
PH_rn_0015876,Ephb4,-1.047159,0.00013582
PH_rn_0015900,Idnk,-1.051275,4.17E-08
PH_rn_0015950,Camkk2,-1.87627,9.31E-08
PH_rn_0016107,LOC691418,-1.697718,2.67E-14
PH_rn_0016222,Fam211b,-1.113554,0.0000356
PH_rn_0016260,Zfpl1,NA,NA
PH_rn_0016324,Fhod1,-1.253437,0.00000388
PH_rn_0016389,Pla2g4d,-1.228862,0.00426035
PH_rn_0016583,Fbxl14,-1.117581,0.00000031
PH_rn_0016731,LOC100363361,-1.175256,0.00000938
PH_rn_0016743,Mettl8,-1.105448,0.001085952
PH_rn_0016990,Rmi2,-1.373169,0.00000509
PH_rn_0017128,RGD1306926,-1.336253,0.000714206
PH_rn_0017131,Tmem121,-1.385471,0.00000878
PH_rn_0017160,Galnt12,-1.175956,0.000278137
PH_rn_0017185,Aunip,-1.134275,0.00000369
PH_rn_0017323,RGD1562272,-1.129172,0.0000785
PH_rn_0017502,Mst4,-1.019015,0.024921777
PH_rn_0017881,Fam149a,-1.010635,0.008426585
PH_rn_0018063,E2f8,-1.187466,1.52E-08
PH_rn_0018065,Gdpgp1,-1.297756,0.0000614
PH_rn_0018122,Srcrb4d,-1.189731,0.00000509
PH_rn_0018240,Megf8,-1.027616,0.000000064
PH_rn_0018352,Fhod3,-1.120094,0.00272674
PH_rn_0018365,Zkscan4,-1.022822,0.015872859
PH_rn_0018377,Ccdc18,-1.071144,0.009767412
PH_rn_0018527,Cdk12,-1.002585,0.005729448
PH_rn_0018581,Ntrk2,-1.026129,0.000656081
PH_rn_0018617,Prelp,-1.122879,0.0000857
PH_rn_0018979,Dennd3,-1.216472,0.016466301
PH_rn_0019122,Arap3,-1.06275,0.00000611
PH_rn_0019514,Sh2d1b2,-1.133789,0.0000217
PH_rn_0019545,Simc1,-1.056952,0.009257328
PH_rn_0020575,Pdf,-1.072843,0.000000003
PH_rn_0020633,Tead4,-1.28096,5.66E-11
PH_rn_0020648,Mycbp,-1.064195,0.002203992
PH_rn_0020954,Plekhg3,-1.037511,0.000000185
PH_rn_0021623,LOC691920,-1.081736,0.000282812
PH_rn_0022203,Ercc6l,-1.162589,0.0000955
PH_rn_0022212,Hyls1,-1.169153,2.81E-11
PH_rn_0022815,Syde2,-1.293126,0.005672895
PH_rn_0022950,Atxn2l,-1.236626,0.000171517
PH_rn_0023022,Pcnxl3,-1.245174,8.99E-08
PH_rn_0023379,Arl4c,-1.027686,0.00000982
PH_rn_0025213,B3gnt1|LOC100911750,-1.009255,0.00000347
PH_rn_0025464,Evi2b,-1.278935,0.000880527
PH_rn_0025585,Mgat5|LOC100909582,-1.142717,0.014118353
PH_rn_0025644,Scd|LOC681469|LOC681458,-1.14755,0.000000412
PH_rn_0026007,LOC100910427,-1.166221,0.0000322
